G_S,order,Family,Genus,species,CI,Loght,ANG_GYM,native,Functional_group,LogGeoRangeST,LogGeoRangeCO,LogPSR
Abies_amabilis,Pinales                         ,Pinaceae                        ,Abies           ,amabilis                                        ,2.356025857,1.660106221,gymno   ,1,G-TREE  ,6.189093512,5.542572371,1.69019608
Abies_balsamea,Pinales                         ,Pinaceae                        ,Abies           ,balsamea                                        ,2.919601024,1.262166212,gymno   ,1,G-TREE  ,6.014385315,5.840529282,2.041392685
Abies_concolor,Pinales                         ,Pinaceae                        ,Abies           ,concolor                                        ,2.290034611,1.688134945,gymno   ,1,G-TREE  ,6.408778157,6.099305171,2.274157849
Abies_fraseri,Pinales                         ,Pinaceae                        ,Abies           ,fraseri                                         ,2.257678575,1.182984966,gymno   ,1,G-TREE  ,5.681136994,4.155323384,1.681241237
Abies_grandis,Pinales                         ,Pinaceae                        ,Abies           ,grandis                                         ,2.582063363,1.785044958,gymno   ,1,G-TREE  ,6.146120094,5.674056398,2.298853076
Abies_lasiocarpa,Pinales                         ,Pinaceae                        ,Abies           ,lasiocarpa                                      ,2.57863921,1.484014962,gymno   ,1,G-TREE  ,6.572551767,6.158777072,1.643452676
Abies_procera,Pinales                         ,Pinaceae                        ,Abies           ,procera                                         ,1.819543936,1.660106221,gymno   ,1,G-TREE  ,5.911428492,5.224520238,1.591064607
Abutilon_berlandieri,Mavales                         ,Malvaceae                       ,Abutilon        ,berlandieri                                     ,0,0.182984966,angio   ,1,shrub   ,5.826398653,4.798460587,0.301029996
Acalypha_virginica,Euphorbiales                    ,Euphorbiaceae                   ,Acalypha        ,virginica                                       ,0.602059991,-0.038863783,angio   ,1,HERB    ,6.590216393,6.130947648,0.84509804
Acer_barbatum,Sapindales                      ,Sapindaceae                     ,Acer            ,barbatum                                        ,0.954242509,1.262166212,angio   ,1,A-TREE  ,6.31271477,5.70302399,0.77815125
Acer_circinatum,Sapindales                      ,Sapindaceae                     ,Acer            ,circinatum                                      ,1.380211242,0.881954971,angio   ,1,A-TREE  ,6.189093512,5.629910304,1.556302501
Acer_glabrum,Sapindales                      ,Sapindaceae                     ,Acer            ,glabrum                                         ,0.698970004,0.961136217,angio   ,1,A-TREE  ,6.615776857,6.362362403,0.84509804
Acer_macrophyllum,Sapindales                      ,Sapindaceae                     ,Acer            ,macrophyllum                                    ,1.662757832,1.329113002,angio   ,1,A-TREE  ,5.911428492,5.710502861,1.934498451
Acer_negundo,Sapindales                      ,Sapindaceae                     ,Acer            ,negundo                                         ,2.238046103,1.262166212,angio   ,1,A-TREE  ,6.879455524,6.658286877,2.158362492
Acer_pensylvanicum,Sapindales                      ,Sapindaceae                     ,Acer            ,pensylvanicum                                  ,1.72427587,0.961136217,angio   ,1,A-TREE  ,6.245248532,5.802996682,1.380211242
Acer_rubrum,Sapindales                      ,Sapindaceae                     ,Acer            ,rubrum                                          ,2.888179494,1.438257471,angio   ,1,A-TREE  ,6.578857483,6.404366958,2.346352974
Acer_saccharinum,Sapindales                      ,Sapindaceae                     ,Acer            ,saccharinum                                     ,2.100370545,1.387104949,angio   ,1,A-TREE  ,6.590909068,6.311678143,2.056904851
Acer_spicatum,Sapindales                      ,Sapindaceae                     ,Acer            ,spicatum                                        ,1.278753601,0.881954971,angio   ,1,A-TREE  ,6.291103619,5.991411407,1.505149978
Achillea_millefolium,Asterales                       ,Asteraceae                      ,Achillea        ,millefolium                                     ,2.610660163,-0.038863783,angio   ,1,HERB    ,6.955996831,6.773244427,1.361727836
Achillea_sibirica,Asterales                       ,Asteraceae                      ,Achillea        ,sibirica                                        ,0.698970004,-0.214955042,angio   ,1,HERB    ,6.171183905,5.870586276,0.301029996
Actaea_pachypoda,Ranunculales                    ,Ranunculaceae                   ,Actaea          ,pachypoda                                       ,1.079181246,-0.038863783,angio   ,1,HERB    ,6.547489183,6.160028741,0.602059991
Actaea_racemosa,Ranunculales                    ,Ranunculaceae                   ,Actaea          ,racemosa                                        ,2.025305865,-0.214955042,angio   ,1,HERB    ,6.362416364,5.855630403,1
Aesculus_californica,Sapindales                      ,Sapindaceae                     ,Aesculus        ,californica                                     ,1.113943352,0.881954971,angio   ,1,A-TREE  ,5.601289413,5.399649334,1.477121255
Aesculus_flava,Sapindales                      ,Sapindaceae                     ,Aesculus        ,flava                                           ,1.176091259,1.296928319,angio   ,1,A-TREE  ,6.168235472,5.411047866,1.146128036
Aesculus_glabra,Sapindales                      ,Sapindaceae                     ,Aesculus        ,glabra                                          ,1.447158031,1.329113002,angio   ,1,A-TREE  ,6.581005432,5.923834698,1.176091259
Aesculus_pavia,Sapindales                      ,Sapindaceae                     ,Aesculus        ,pavia                                           ,1.255272505,0.881954971,angio   ,1,A-TREE  ,6.401133988,5.889576386,1.113943352
Agastache_nepetoides,Lamiales                        ,Lamiaceae                       ,Agastache       ,nepetoides                                      ,0.477121255,0.182984966,angio   ,1,HERB    ,6.527568786,5.923284662,0.698970004
Agastache_scrophulariifolia,Lamiales                        ,Lamiaceae                       ,Agastache       ,scrophulariifolia                                ,0.301029996,0.182984966,angio   ,1,HERB    ,6.452407983,5.702730144,0.903089987
Ageratina_altissima,Asterales                       ,Asteraceae                      ,Ageratina       ,altissima                                       ,0.903089987,0.086074953,angio   ,1,HERB    ,6.714224468,6.34622765,1.361727836
Ageratina_aromatica,Asterales                       ,Asteraceae                      ,Ageratina       ,aromatica                                       ,0,-0.038863783,angio   ,1,HERB    ,6.216103645,5.727258122,0.301029996
Alnus_incana,Fagales                         ,Betulaceae                      ,Alnus           ,incana                                          ,2.608526034,1.397828814,angio   ,1,A-TREE  ,6.728648434,6.606377113,1.838849091
Alnus_oblongifolia,Fagales                         ,Betulaceae                      ,Alnus           ,oblongifolia                                    ,0.698970004,1.413433888,angio   ,1,A-TREE  ,5.779309705,5.553561069,1.740362689
Alnus_rhombifolia,Fagales                         ,Betulaceae                      ,Alnus           ,rhombifolia                                     ,1.176091259,1.359076225,angio   ,1,A-TREE  ,6.225587813,5.79513073,1.176091259
Alnus_rubra,Fagales                         ,Betulaceae                      ,Alnus           ,rubra                                           ,2.539076099,1.443056354,angio   ,1,A-TREE  ,6.244877986,5.68680702,2.187520721
Alnus_serrulata,Fagales                         ,Betulaceae                      ,Alnus           ,serrulata                                       ,1.278753601,0.98916494,angio   ,1,A-TREE  ,6.504288529,6.13455691,1.041392685
